Abone_No,Kaçak_Flag,Tarif,TCKN NO,Cinsiyet,Yas,Aile_Risk_Factor,Parch,Sayac_Tip,Toplam_Fatura_Tutari
212,1,2,27035881159,female,35,0,0,F.C.C. 13528,21
213,0,3,36597227612,male,22,0,0,A/5 21174,7.25
214,0,2,34801540733,male,30,0,0,250646,13
215,0,3,41203202692,male,,1,0,367229,7.75
216,1,1,45802693950,female,31,1,0,35273,113.275
217,1,3,40062587339,female,27,0,0,STON/O2. 3101283,7.925
218,0,2,21433999737,male,42,1,0,243847,27
219,1,1,42299665033,female,32,0,0,11813,76.2917
220,0,2,31481101088,male,30,0,0,W/C 14208,10.5
221,1,3,23922739166,male,16,0,0,SOTON/OQ 392089,8.05
222,0,2,37461126033,male,27,0,0,220367,13
223,0,3,43931997819,male,51,0,0,21440,8.05
224,0,3,37932221501,male,,0,0,349234,7.8958
225,1,1,28286972516,male,38,1,0,19943,90
226,0,3,41423091826,male,22,0,0,PP 4348,9.35
227,1,2,37079758477,male,19,0,0,SW/PP 751,10.5
228,0,3,25757960476,male,20.5,0,0,A/5 21173,7.25
229,0,2,31577397845,male,18,0,0,236171,13
230,0,3,41541787901,female,,3,1,4133,25.4667
231,1,1,36873639269,female,35,1,0,36973,83.475
232,0,3,27296726302,male,29,0,0,347067,7.775
233,0,2,34070961557,male,59,0,0,237442,13.5
234,1,3,25073119952,female,5,4,2,347077,31.3875
235,0,2,22976797429,male,24,0,0,C.A. 29566,10.5
236,0,3,44186051236,female,,0,0,W./C. 6609,7.55
237,0,2,20877971523,male,44,1,0,26707,26
238,1,2,37461430500,female,8,0,2,C.A. 31921,26.25
239,0,2,20650098698,male,19,0,0,28665,10.5
240,0,2,23205870907,male,33,0,0,SCO/W 1585,12.275
241,0,3,25650325250,female,,1,0,2665,14.4542
242,1,3,29756912636,female,,1,0,367230,15.5
243,0,2,30976392881,male,29,0,0,W./C. 14263,10.5
244,0,3,43960703723,male,22,0,0,STON/O 2. 3101275,7.125
245,0,3,41251600721,male,30,0,0,2694,7.225
246,0,1,27481222542,male,44,2,0,19928,90
247,0,3,29749584242,female,25,0,0,347071,7.775
248,1,2,22797343903,female,24,0,2,250649,14.5
249,1,1,40726382079,male,37,1,1,11751,52.5542
250,0,2,44623982144,male,54,1,0,244252,26
251,0,3,41490944472,male,,0,0,362316,7.25
252,0,3,45866579705,female,29,1,1,347054,10.4625
253,0,1,32434375950,male,62,0,0,113514,26.55
254,0,3,41010261383,male,30,1,0,A/5. 3336,16.1
255,0,3,37067189308,female,41,0,2,370129,20.2125
256,1,3,31966079557,female,29,0,2,2650,15.2458
257,1,1,25593708330,female,,0,0,PC 17585,79.2
258,1,1,37758987855,female,30,0,0,110152,86.5
259,1,1,42936334612,female,35,0,0,PC 17755,512.3292
260,1,2,29831454608,female,50,0,1,230433,26
261,0,3,45044375500,male,,0,0,384461,7.75
262,1,3,30163693954,male,3,4,2,347077,31.3875
263,0,1,38637910609,male,52,1,1,110413,79.65
264,0,1,33559580322,male,40,0,0,112059,0
265,0,3,42587522662,female,,0,0,382649,7.75
266,0,2,33830474182,male,36,0,0,C.A. 17248,10.5
267,0,3,28982776552,male,16,4,1,3101295,39.6875
268,1,3,36241199561,male,25,1,0,347083,7.775
269,1,1,27419251311,female,58,0,1,PC 17582,153.4625
270,1,1,23599098662,female,35,0,0,PC 17760,135.6333
271,0,1,36296860567,male,,0,0,113798,31
272,1,3,41454315965,male,25,0,0,LINE,0
273,1,2,24399863833,female,41,0,1,250644,19.5
274,0,1,35245316060,male,37,0,1,PC 17596,29.7
275,1,3,25256631695,female,,0,0,370375,7.75
276,1,1,45755008859,female,63,1,0,13502,77.9583
277,0,3,24187672005,female,45,0,0,347073,7.75
278,0,2,29835652032,male,,0,0,239853,0
279,0,3,33074424144,male,7,4,1,382652,29.125
280,1,3,42268728051,female,35,1,1,C.A. 2673,20.25
281,0,3,28191723074,male,65,0,0,336439,7.75
282,0,3,41183882990,male,28,0,0,347464,7.8542
283,0,3,39880901387,male,16,0,0,345778,9.5
284,1,3,29578682871,male,19,0,0,A/5. 10482,8.05
285,0,1,21874567294,male,,0,0,113056,26
286,0,3,21246394176,male,33,0,0,349239,8.6625
287,1,3,34722162279,male,30,0,0,345774,9.5
288,0,3,40884814718,male,22,0,0,349206,7.8958
289,1,2,21017463393,male,42,0,0,237798,13
290,1,3,44196431233,female,22,0,0,370373,7.75
291,1,1,27110193468,female,26,0,0,19877,78.85
292,1,1,41045034690,female,19,1,0,11967,91.0792
293,0,2,43716601944,male,36,0,0,SC/Paris 2163,12.875
294,0,3,33712860079,female,24,0,0,349236,8.85
295,0,3,40336307403,male,24,0,0,349233,7.8958
296,0,1,33908931011,male,,0,0,PC 17612,27.7208
297,0,3,35941915581,male,23.5,0,0,2693,7.2292
298,0,1,40363523861,female,2,1,2,113781,151.55
299,1,1,26237579595,male,,0,0,19988,30.5
300,1,1,29181005255,female,50,0,1,PC 17558,247.5208
301,1,3,25046755981,female,,0,0,9234,7.75
302,1,3,36990718878,male,,2,0,367226,23.25
303,0,3,42456777691,male,19,0,0,LINE,0
304,1,2,45857844228,female,,0,0,226593,12.35
305,0,3,25671730732,male,,0,0,A/5 2466,8.05
306,1,1,33016426645,male,0.92,1,2,113781,151.55
307,1,1,22828971188,female,,0,0,17421,110.8833
308,1,1,26735699419,female,17,1,0,PC 17758,108.9
309,0,2,22684721539,male,30,1,0,P/PP 3381,24
310,1,1,38822893319,female,30,0,0,PC 17485,56.9292
311,1,1,21814649749,female,24,0,0,11767,83.1583
312,1,1,39161526124,female,18,2,2,PC 17608,262.375
313,0,2,24472799102,female,26,1,1,250651,26
314,0,3,43083980236,male,28,0,0,349243,7.8958
315,0,2,24187413777,male,43,1,1,F.C.C. 13529,26.25
316,1,3,39239721074,female,26,0,0,347470,7.8542
317,1,2,25998351619,female,24,1,0,244367,26
318,0,2,42154832083,male,54,0,0,29011,14
319,1,1,38108429295,female,31,0,2,36928,164.8667
320,1,1,20067889361,female,40,1,1,16966,134.5
321,0,3,42419843887,male,22,0,0,A/5 21172,7.25
322,0,3,41855963623,male,27,0,0,349219,7.8958
323,1,2,22883686294,female,30,0,0,234818,12.35
324,1,2,25859383997,female,22,1,1,248738,29
325,0,3,37738682339,male,,8,2,CA. 2343,69.55
326,1,1,23716510716,female,36,0,0,PC 17760,135.6333
327,0,3,26450587287,male,61,0,0,345364,6.2375
328,1,2,23126426397,female,36,0,0,28551,13
329,1,3,27625162103,female,31,1,1,363291,20.525
330,1,1,39989892392,female,16,0,1,111361,57.9792
331,1,3,37414803459,female,,2,0,367226,23.25
332,0,1,23098322859,male,45.5,0,0,113043,28.5
333,0,1,27320899017,male,38,0,1,PC 17582,153.4625
334,0,3,39750030852,male,16,2,0,345764,18
335,1,1,23651274822,female,,1,0,PC 17611,133.65
336,0,3,20125403554,male,,0,0,349225,7.8958
337,0,1,33768191865,male,29,1,0,113776,66.6
338,1,1,30966962197,female,41,0,0,16966,134.5
339,1,3,41082066936,male,45,0,0,7598,8.05
340,0,1,41181843348,male,45,0,0,113784,35.5
341,1,2,39395209959,male,2,1,1,230080,26
342,1,1,21161196774,female,24,3,2,19950,263
343,0,2,38557442119,male,28,0,0,248740,13
344,0,2,29754983002,male,25,0,0,244361,13
345,0,2,27168475175,male,36,0,0,229236,13
346,1,2,35910465149,female,24,0,0,248733,13
347,1,2,25105949831,female,40,0,0,31418,13
348,1,3,31653383178,female,,1,0,386525,16.1
349,1,3,23363797102,male,3,1,1,C.A. 37671,15.9
350,0,3,31196129736,male,42,0,0,315088,8.6625
351,0,3,29874557281,male,23,0,0,7267,9.225
352,0,1,24352582660,male,,0,0,113510,35
353,0,3,22217413493,male,15,1,1,2695,7.2292
354,0,3,36882059653,male,25,1,0,349237,17.8
355,0,3,37568050543,male,,0,0,2647,7.225
356,0,3,24809375414,male,28,0,0,345783,9.5
357,1,1,29336055203,female,22,0,1,113505,55
358,0,2,20493948189,female,38,0,0,237671,13
359,1,3,34635504442,female,,0,0,330931,7.8792
360,1,3,39611157846,female,,0,0,330980,7.8792
361,0,3,26322481377,male,40,1,4,347088,27.9
362,0,2,39585699691,male,29,1,0,SC/PARIS 2167,27.7208
363,0,3,36073398116,female,45,0,1,2691,14.4542
364,0,3,34636606422,male,35,0,0,SOTON/O.Q. 3101310,7.05
365,0,3,32128249349,male,,1,0,370365,15.5
366,0,3,43314848175,male,30,0,0,C 7076,7.25
367,1,1,26550091636,female,60,1,0,110813,75.25
368,1,3,21875520389,female,,0,0,2626,7.2292
369,1,3,31581183218,female,,0,0,14313,7.75
370,1,1,29378851267,female,24,0,0,PC 17477,69.3
371,1,1,24831145483,male,25,1,0,11765,55.4417
372,0,3,30142069472,male,18,1,0,3101267,6.4958
373,0,3,36626509110,male,19,0,0,323951,8.05
374,0,1,29878791701,male,22,0,0,PC 17760,135.6333
375,0,3,44550186125,female,3,3,1,349909,21.075
376,1,1,30049064873,female,,1,0,PC 17604,82.1708
377,1,3,35790811007,female,22,0,0,C 7077,7.25
378,0,1,45882995792,male,27,0,2,113503,211.5
379,0,3,21054162476,male,20,0,0,2648,4.0125
380,0,3,28939584050,male,19,0,0,347069,7.775
381,1,1,28006152786,female,42,0,0,PC 17757,227.525
382,1,3,43423028628,female,1,0,2,2653,15.7417
383,0,3,33239574724,male,32,0,0,STON/O 2. 3101293,7.925
384,1,1,33504711746,female,35,1,0,113789,52
385,0,3,40047518993,male,,0,0,349227,7.8958
386,0,2,44416580086,male,18,0,0,S.O.C. 14879,73.5
387,0,3,44637773731,male,1,5,2,CA 2144,46.9
388,1,2,40148009399,female,36,0,0,27849,13
389,0,3,43882287070,male,,0,0,367655,7.7292
390,1,2,35228672713,female,17,0,0,SC 1748,12
391,1,1,37064254129,male,36,1,2,113760,120
392,1,3,21083169705,male,21,0,0,350034,7.7958
393,0,3,34595539010,male,28,2,0,3101277,7.925
394,1,1,31140924158,female,23,1,0,35273,113.275
395,1,3,41242070850,female,24,0,2,PP 9549,16.7
396,0,3,41818250253,male,22,0,0,350052,7.7958
397,0,3,43447999863,female,31,0,0,350407,7.8542
398,0,2,29456785787,male,46,0,0,28403,26
399,0,2,23905688333,male,23,0,0,244278,10.5
400,1,2,22617644658,female,28,0,0,240929,12.65
401,1,3,22191668617,male,39,0,0,STON/O 2. 3101289,7.925
402,0,3,29724350346,male,26,0,0,341826,8.05
403,0,3,38967446412,female,21,1,0,4137,9.825
404,0,3,43860195794,male,28,1,0,STON/O2. 3101279,15.85
405,0,3,45443418222,female,20,0,0,315096,8.6625
406,0,2,40518606403,male,34,1,0,28664,21
407,0,3,43478575095,male,51,0,0,347064,7.75
408,1,2,36996391713,male,3,1,1,29106,18.75
409,0,3,33862805594,male,21,0,0,312992,7.775
410,0,3,22581519009,female,,3,1,4133,25.4667
411,0,3,28856445045,male,,0,0,349222,7.8958
412,0,3,36868281830,male,,0,0,394140,6.8583
413,1,1,34898410091,female,33,1,0,19928,90
414,0,2,42430608370,male,,0,0,239853,0
415,1,3,36175902396,male,44,0,0,STON/O 2. 3101269,7.925
416,0,3,32023951854,female,,0,0,343095,8.05
417,1,2,39575388607,female,34,1,1,28220,32.5
418,1,2,39648026757,female,18,0,2,250652,13
419,0,2,37682561339,male,30,0,0,28228,13
420,0,3,22507186337,female,10,0,2,345773,24.15
421,0,3,23251347146,male,,0,0,349254,7.8958
422,0,3,23565647808,male,21,0,0,A/5. 13032,7.7333
423,0,3,26998184150,male,29,0,0,315082,7.875
424,0,3,43340551712,female,28,1,1,347080,14.4
425,0,3,39175282373,male,18,1,1,370129,20.2125
426,0,3,24006696319,male,,0,0,A/4. 34244,7.25
427,1,2,40244131247,female,28,1,0,2003,26
428,1,2,25098843887,female,19,0,0,250655,26
429,0,3,27153830804,male,,0,0,364851,7.75
430,1,3,36382766983,male,32,0,0,SOTON/O.Q. 392078,8.05
431,1,1,32665018201,male,28,0,0,110564,26.55
432,1,3,22769275858,female,,1,0,376564,16.1
433,1,2,27490013860,female,42,1,0,SC/AH 3085,26
434,0,3,32861303639,male,17,0,0,STON/O 2. 3101274,7.125
435,0,1,31953366793,male,50,1,0,13507,55.9
436,1,1,39604827379,female,14,1,2,113760,120
437,0,3,25468829705,female,21,2,2,W./C. 6608,34.375
438,1,2,20164257836,female,24,2,3,29106,18.75
439,0,1,37295587722,male,64,1,4,19950,263
440,0,2,22288769022,male,31,0,0,C.A. 18723,10.5
441,1,2,26181047388,female,45,1,1,F.C.C. 13529,26.25
442,0,3,24875245216,male,20,0,0,345769,9.5
443,0,3,42698390624,male,25,1,0,347076,7.775
444,1,2,43474269002,female,28,0,0,230434,13
445,1,3,24250317563,male,,0,0,65306,8.1125
446,1,1,38987139410,male,4,0,2,33638,81.8583
447,1,2,21473084172,female,13,0,1,250644,19.5
448,1,1,45421538248,male,34,0,0,113794,26.55
449,1,3,35908427225,female,5,2,1,2666,19.2583
450,1,1,34662941099,male,52,0,0,113786,30.5
451,0,2,37939244729,male,36,1,2,C.A. 34651,27.75
452,0,3,34190812127,male,,1,0,65303,19.9667
453,0,1,45684742919,male,30,0,0,113051,27.75
454,1,1,22570511957,male,49,1,0,17453,89.1042
455,0,3,39513271526,male,,0,0,A/5 2817,8.05
456,1,3,36583108002,male,29,0,0,349240,7.8958
457,0,1,37552529343,male,65,0,0,13509,26.55
458,1,1,25450979949,female,,1,0,17464,51.8625
459,1,2,28249491376,female,50,0,0,F.C.C. 13531,10.5
460,0,3,40634764738,male,,0,0,371060,7.75
461,1,1,25416620678,male,48,0,0,19952,26.55
462,0,3,42183794520,male,34,0,0,364506,8.05
463,0,1,20595947495,male,47,0,0,111320,38.5
464,0,2,25967570955,male,48,0,0,234360,13
465,0,3,40396551393,male,,0,0,A/S 2816,8.05
466,0,3,27310268020,male,38,0,0,SOTON/O.Q. 3101306,7.05
467,0,2,23670276416,male,,0,0,239853,0
468,0,1,32293558022,male,56,0,0,113792,26.55
469,0,3,37224085345,male,,0,0,36209,7.725
470,1,3,33114337291,female,0.75,2,1,2666,19.2583
471,0,3,27065850971,male,,0,0,323592,7.25
472,0,3,33428169947,male,38,0,0,315089,8.6625
473,1,2,25219784611,female,33,1,2,C.A. 34651,27.75
474,1,2,31412924157,female,23,0,0,SC/AH Basle 541,13.7917
475,0,3,42238835523,female,22,0,0,7553,9.8375
476,0,1,32665503562,male,,0,0,110465,52
477,0,2,37521968608,male,34,1,0,31027,21
478,0,3,39292445975,male,29,1,0,3460,7.0458
479,0,3,34422099063,male,22,0,0,350060,7.5208
480,1,3,21134872021,female,2,0,1,3101298,12.2875
481,0,3,42838208229,male,9,5,2,CA 2144,46.9
482,0,2,20889705749,male,,0,0,239854,0
483,0,3,22415159311,male,50,0,0,A/5 3594,8.05
484,1,3,27785860578,female,63,0,0,4134,9.5875
485,1,1,27051683803,male,25,1,0,11967,91.0792
486,0,3,45733831975,female,,3,1,4133,25.4667
487,1,1,21264918426,female,35,1,0,19943,90
488,0,1,23541577533,male,58,0,0,11771,29.7
489,0,3,35275501489,male,30,0,0,A.5. 18509,8.05
490,1,3,40565215841,male,9,1,1,C.A. 37671,15.9
491,0,3,40851042337,male,,1,0,65304,19.9667
492,0,3,27211158387,male,21,0,0,SOTON/OQ 3101317,7.25
493,0,1,35265370219,male,55,0,0,113787,30.5
494,0,1,20024397281,male,71,0,0,PC 17609,49.5042
495,0,3,31499674165,male,21,0,0,A/4 45380,8.05
496,0,3,31623609742,male,,0,0,2627,14.4583
497,1,1,43408052043,female,54,1,0,36947,78.2667
498,0,3,38255204941,male,,0,0,C.A. 6212,15.1
499,0,1,42641117500,female,25,1,2,113781,151.55
500,0,3,43026502283,male,24,0,0,350035,7.7958
501,0,3,32703512528,male,17,0,0,315086,8.6625
502,0,3,26443990680,female,21,0,0,364846,7.75
503,0,3,35063430301,female,,0,0,330909,7.6292
504,0,3,30866902240,female,37,0,0,4135,9.5875
505,1,1,40441507042,female,16,0,0,110152,86.5
506,0,1,42660136639,male,18,1,0,PC 17758,108.9
507,1,2,40339346113,female,33,0,2,26360,26
